Country,Region/State,Zip/Postal Codee,Weight (and above),Shipping Price,BSPname
AU,QLD,2406,0,20,NSW NORTH COAST
AU,QLD,4000,0,15,BRISBANE CENTRAL
AU,QLD,4001,0,15,BRISBANE CENTRAL
AU,QLD,4002,0,15,BRISBANE CENTRAL
AU,QLD,4003,0,15,BRISBANE CENTRAL
AU,QLD,4004,0,15,BRISBANE CENTRAL
AU,QLD,4005,0,15,NORTHGATE
AU,QLD,4006,0,15,NORTHGATE
AU,QLD,4007,0,15,NORTHGATE
AU,QLD,4008,0,15,NORTHGATE
AU,QLD,4009,0,15,NORTHGATE
AU,QLD,4010,0,15,NORTHGATE
AU,QLD,4011,0,15,NORTHGATE
AU,QLD,4012,0,15,MORETON
AU,QLD,4013,0,15,MORETON
AU,QLD,4014,0,15,MORETON
AU,QLD,4017,0,15,NORTHGATE
AU,QLD,4018,0,15,NORTHGATE
AU,QLD,4019,0,15,MORETON
AU,QLD,4020,0,15,MORETON
AU,QLD,4021,0,15,MORETON
AU,QLD,4022,0,15,MORETON
AU,QLD,4025,0,15,MORETON
AU,QLD,4029,0,15,NORTHGATE
AU,QLD,4030,0,15,NORTHGATE
AU,QLD,4031,0,15,NORTHGATE
AU,QLD,4032,0,15,MORETON
AU,QLD,4034,0,15,MORETON
AU,QLD,4035,0,15,MORETON
AU,QLD,4036,0,15,MORETON
AU,QLD,4037,0,15,MORETON
AU,QLD,4051,0,15,NORTHGATE
AU,QLD,4053,0,15,NORTHGATE
AU,QLD,4054,0,15,MORETON
AU,QLD,4055,0,15,MORETON
AU,QLD,4059,0,15,NORTHGATE
AU,QLD,4060,0,15,NORTHGATE
AU,QLD,4061,0,15,MORETON
AU,QLD,4064,0,15,NORTHGATE
AU,QLD,4065,0,15,NORTHGATE
AU,QLD,4066,0,15,NORTHGATE
AU,QLD,4067,0,15,NORTHGATE
AU,QLD,4068,0,15,NORTHGATE
AU,QLD,4069,0,15,NORTHGATE
AU,QLD,4070,0,15,NORTHGATE
AU,QLD,4072,0,15,NORTHGATE
AU,QLD,4073,0,15,HEATHWOOD DF
AU,QLD,4074,0,15,HEATHWOOD DF
AU,QLD,4075,0,15,HEATHWOOD DF
AU,QLD,4076,0,15,HEATHWOOD DF
AU,QLD,4077,0,15,HEATHWOOD DF
AU,QLD,4078,0,15,HEATHWOOD DF
AU,QLD,4101,0,15,BRISBANE CENTRAL
AU,QLD,4102,0,15,BRISBANE CENTRAL
AU,QLD,4103,0,15,HEATHWOOD DF
AU,QLD,4104,0,15,HEATHWOOD DF
AU,QLD,4105,0,15,HEATHWOOD DF
AU,QLD,4106,0,15,HEATHWOOD DF
AU,QLD,4107,0,15,HEATHWOOD DF
AU,QLD,4108,0,15,HEATHWOOD DF
AU,QLD,4109,0,15,WEST SUBS
AU,QLD,4110,0,15,WEST SUBS
AU,QLD,4111,0,15,HEATHWOOD DF
AU,QLD,4112,0,15,WEST SUBS
AU,QLD,4113,0,15,WEST SUBS
AU,QLD,4114,0,15,SOUTH SUBS
AU,QLD,4115,0,15,WEST SUBS
AU,QLD,4116,0,15,WEST SUBS
AU,QLD,4117,0,15,HEATHWOOD DF
AU,QLD,4118,0,15,HEATHWOOD DF
AU,QLD,4119,0,15,SOUTH SUBS
AU,QLD,4120,0,15,BRISBANE CENTRAL
AU,QLD,4121,0,15,SOUTH SUBS
AU,QLD,4122,0,15,SOUTH SUBS
AU,QLD,4123,0,15,SOUTH SUBS
AU,QLD,4124,0,15,HEATHWOOD DF
AU,QLD,4125,0,15,HEATHWOOD DF
AU,QLD,4127,0,15,SOUTH SUBS
AU,QLD,4128,0,15,SOUTH SUBS
AU,QLD,4129,0,15,SOUTH SUBS
AU,QLD,4130,0,15,SOUTH SUBS
AU,QLD,4131,0,15,SOUTH SUBS
AU,QLD,4132,0,15,HEATHWOOD DF
AU,QLD,4133,0,15,HEATHWOOD DF
AU,QLD,4151,0,15,BRISBANE CENTRAL
AU,QLD,4152,0,15,SOUTH SUBS
AU,QLD,4153,0,15,BRISBANE CENTRAL
AU,QLD,4154,0,15,SOUTH SUBS
AU,QLD,4155,0,15,SOUTH SUBS
AU,QLD,4156,0,15,SOUTH SUBS
AU,QLD,4157,0,15,SOUTH SUBS
AU,QLD,4158,0,15,SOUTH SUBS
AU,QLD,4159,0,15,SOUTH SUBS
AU,QLD,4160,0,15,SOUTH SUBS
AU,QLD,4161,0,15,SOUTH SUBS
AU,QLD,4163,0,15,SOUTH SUBS
AU,QLD,4164,0,15,SOUTH SUBS
AU,QLD,4165,0,15,SOUTH SUBS
AU,QLD,4169,0,15,BRISBANE CENTRAL
AU,QLD,4170,0,15,BRISBANE CENTRAL
AU,QLD,4171,0,15,BRISBANE CENTRAL
AU,QLD,4172,0,15,BRISBANE CENTRAL
AU,QLD,4173,0,15,BRISBANE CENTRAL
AU,QLD,4174,0,15,BRISBANE CENTRAL
AU,QLD,4178,0,15,BRISBANE CENTRAL
AU,QLD,4179,0,15,BRISBANE CENTRAL
AU,QLD,4183,0,15,SOUTH SUBS
AU,QLD,4184,0,15,SOUTH SUBS
AU,QLD,4205,0,15,SOUTH SUBS
AU,QLD,4207,0,15,SOUTH SUBS
AU,QLD,4208,0,15,SOUTH SUBS
AU,QLD,4209,0,15,SOUTH SUBS
AU,QLD,4210,0,9,GOLD COAST
AU,QLD,4211,0,9,GOLD COAST
AU,QLD,4212,0,9,GOLD COAST
AU,QLD,4213,0,9,GOLD COAST
AU,QLD,4214,0,9,GOLD COAST
AU,QLD,4215,0,9,GOLD COAST
AU,QLD,4216,0,9,GOLD COAST
AU,QLD,4217,0,9,GOLD COAST
AU,QLD,4218,0,9,GOLD COAST
AU,QLD,4219,0,9,GOLD COAST
AU,QLD,4220,0,9,GOLD COAST
